ID;Diâmetro (mm);Altura (mm);Massa (g);Resistência (kgf)
335;17.38;32.8;8.2;1225
297;14.71;20.43;3.8;958
318;15.85;21.84;4.7;1129
311;15.16;28.32;5.5;988
315;15.86;21.82;4.7;1113
317;15.87;29.56;6.3;1108
290;14.06;26.26;4.5;896
284;13.41;25.07;3.8;818
338;17.33;32.8;8.25;1298
341;17.26;32.8;8.2;1261
299;14.74;27.58;5.1;953
287;13.36;25.03;3.8;806
278;13.12;24.41;3.5;780
283;13.41;22.39;3.4;814
282;13.38;18.43;2.8;817
296;14.37;26.86;4.6;891
211;13.84;20.58;3.1;746
94;12.57;18.68;2.3;554
186;13.56;26.8;4;644
41;12;21;2.4;538
198;13.55;26.95;4;670
36;12.08;23.94;2.7;599
246;14.58;28.9;4.8;658
250;14.72;21.96;3.8;842
344;18.05;34.05;9.03;1278
270;12.5;17.15;2.2;753
329;16.05;30.2;6.6;1032
326;16.1;30.2;6.5;1079
314;15.35;28.95;5.8;1001
340;17.38;23.2;7.3;1210
271;12.4;20.8;2.7;714
285;13.3;18.4;2.8;814
332;16.63;31.45;7.5;1250
310;15.41;25.62;4.9;1012
293;14.14;26.28;4.4;855
295;14.42;24.13;4.2;893
276;13.14;18.09;2.6;777
277;13.09;27.84;2.1;784
294;14.36;19.87;3.4;920
302;14.77;27.63;5.1;954
308;14.84;27.66;5.2;999
138;14.06;26.04;3.5;647
201;13.55;26.30;4.0;682
228;14.10;28.00;4.4;587
37;12.07;18.09;2.1;545
214;13.87;20.50;3.1;676
46;12.08;18.00;2.1;542
242;14.29;24.90;4.4;584
58;12.34;18.34;2.2;529
312;14.98;21.24;4.26;1060
330;16.52;23.16;5.5;1204
313;14.88;25.84;5.2;1004
328;15.69;26.92;5.9;1059
305;14.01;27.64;5.13;895
334;17.18;29.22;7.33;1227
321;15.71;22.15;4.8;1106
265;11.55;21.12;1.56;284
